,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Ant_L,Cingulate_Ant_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10,Nigra_L,VTA_L,Nigra_R,VTA_R
Precentral_L,0.0,0.01696994786192424,0.3071861486697004,0.02300158525591186,0.3972923618092804,0.01113066027255748,0.16155888128277246,0.0037723752140882806,0.06606371406764339,0.001583435277506088,0.0006802389094632138,0.0003764371190652694,0.053576502473026096,0.0025695737575834616,0.09592053887578726,0.03300301863455483,0.0002260595823260407,0.0002423191072221482,0.00712108476455255,0.0012547831939701255,0.00012203538419528295,0.0,0.0001407697646548852,6.061605047608364e-05,0.0001139157416153749,0.0,0.0,0.0002859972963041437,9.377367173124318e-05,9.696310453527883e-05,0.00018906848876234657,0.0,0.04543260556063153,0.0021161349270020385,0.006747423335135457,0.0019753758389976363,0.022114333906580904,0.024300827618983556,0.001184392660002654,0.00024279829924325663,0.011685215093434858,0.0010697095366286704,0.0012332292518092384,0.00018133761196308223,0.0017708916998104742,0.0,0.0003029519848976401,4.6460683847581825e-05,0.0,0.0,0.0018136036061245336,9.282703400018671e-05,0.0006018364732907946,0.00019909526449799817,0.0027427896994008565,0.00028119105541195896,0.0005883307858330075,0.0,0.0014438594497462346,0.0,0.920946773455031,0.005992797499696836,0.028107612827423738,0.003943624273419958,0.08124129603319494,0.001176923734323975,0.020604530005415074,0.0006926831023784208,0.01648169355177511,0.0006807020485915283,0.011075801511059321,0.005926691000670643,0.10264872706562107,0.002858594242263323,0.06608227339493912,0.004430856957834551,0.09311874233461806,0.005518625188628929,0.05423946202393938,0.0030095854489244423,0.14700373124485688,0.012325723787712996,0.00032766236402349407,0.00010715665154704273,0.010500207278757435,0.00040353852109418695,0.0056425737208256705,6.112934790965661e-05,0.03864256093700346,0.0003217916750480371,0.00013341266242161131,0.0,0.01056406073512183,0.0,0.0002742773355145261,0.000217316519148689,0.0,0.0,0.0008040931638427693,0.0002863981117325617,0.0005329000352581776,0.0,0.00036892001874312214,0.0,0.0004320049139282628,0.0,0.0006638755077426739,0.00012086368267213639,0.00037469342447418,0.00029847547489367785,0.0002794455408012004,0.0,0.0,0.00020630171619956408,0.00042532796422136966,0.00011978306195793294,0.0,0.0,0.0,0.0,0.11582956068191556,0.11582956068191556,0.0,0.0
Precentral_R,0.01696994786192424,0.0,0.012066580694055574,0.36525462000262454,0.00402882971960908,0.5208713956879971,0.00212208066784128,0.20219718665325473,0.002283579550523226,0.037027214731760065,0.00010681820771377614,0.0024632905438535385,0.0008539675061195229,0.1158351169737806,0.021063950897403625,0.10137173718502311,0.0,0.0002494425803953211,0.0009758594440276276,0.0015097974013806303,0.00018393283229236625,0.0,0.0,0.0001857953111058464,0.0,7.20502442298235e-05,0.0,0.0005523805838699223,0.0,0.00034669693597311473,0.0,0.00019275172164010792,0.0021844847758879203,0.029998614482286516,0.0024238812268734945,0.0010420604483734595,0.012645561412212262,0.017108979108666805,0.000430655301491065,0.0002882804431290245,0.0012950760307183496,0.00892572345268969,0.00025397862020933503,0.004355491156630558,5.612290485373087e-05,0.0017533392145806781,0.00011029638105073779,0.000607670438579876,0.0,0.0006635281913135135,5.365469874806681e-05,0.0013192688377591673,0.0,0.0024848695112848836,0.00044158663099416674,0.0034855388248557512,7.082599362996581e-05,0.00014740622291538268,0.0,0.001083340769522272,0.008436273397599708,0.9158847598502654,0.004337421458530139,0.027285588326888297,0.0012886803458934117,0.03261057844573355,0.00034548002532100696,0.02521878169634909,0.00044510709983210903,0.018472431829569824,0.007054124564545347,0.008011226003779104,0.0090628741800729,0.06879574139603387,0.0027326716632490606,0.06480592280423285,0.00423577787406713,0.094691481500207,0.001992438974421094,0.03923338330980886,0.00735008427334566,0.1333417630843817,0.0,0.0031014370361979967,0.0005662143418471088,0.0059133168216078495,0.0004021171136705181,0.0009244055960834256,0.0006912682725697004,0.02364986240879886,0.0,0.00029548803234288434,0.000326699158525657,0.005054867161826884,8.581039917468208e-05,5.680773914123714e-05,0.0,0.0,0.0002554332390007161,0.0009928215204641282,0.0002113315361309483,0.0001458353822977254,0.00038454438072189326,0.0003164641302322395,0.0,0.0,0.0002451306105468661,6.6646190736259e-05,0.0004502979875130513,0.00021591649296487573,0.00021556395196170618,0.0,0.00029498810167658397,0.0004317466387684592,0.00016743647733665038,0.0,7.220067524161433e-05,0.0,8.755299616618938e-05,0.0,0.0,0.0,0.12182505410304437,0.12182505410304437
Frontal_Sup_2_L,0.3071861486697004,0.012066580694055574,0.0,0.030084496397058694,0.9479017924114348,0.032001047448141674,0.03196826534962923,0.003941514870622,0.11298919901685318,0.008981313145662154,0.015665478218760746,0.004820759354732272,0.0063025941016178755,0.0013159014102243863,0.3845936785529824,0.02760343042354838,0.0024167241671531185,0.001678942234593113,0.5911605189576887,0.017489671006655428,0.11686386147972941,0.005440982666546685,0.01269711012868178,0.002573920946409048,0.018915500515353678,0.0020926169561143607,0.06899476095010838,0.0034266773252284413,0.0076505037048632376,0.0006667844659364524,0.010667296591333234,0.0010900312795730908,0.040663959389894797,0.0037306432207333314,0.037428316825250024,0.01862738127567746,0.04512101036218835,0.020466070312700587,0.0014883177048467416,0.00010952986140670953,0.005319606313070567,0.000362194347588605,0.0009225913956864648,0.00027035598339655663,0.0009702216377445543,0.0004345099235457264,4.770012123438189e-05,7.935150059636867e-05,0.00030329384126778883,0.0,0.000838355417299713,4.262052615977481e-05,0.00030810685135593925,0.00019645064021371486,0.0008318109837837988,0.00017892213853260428,0.00016235269940981898,0.0,0.00018793116804937665,0.0,0.04619303193446291,0.0030216273097281626,0.016466730615278223,0.0019393983247656791,0.00878534498827266,0.0003487480702027351,0.002320421546159713,0.0,0.002254055071692188,0.0002691623598163058,0.010077964371606763,0.0038813656831302623,0.06652709647591215,0.0008979393250416733,0.06845361632153393,0.008336056896148032,0.08493740307154587,0.009079845077218776,0.02761745661667549,0.0025106389422953432,0.07254131109300156,0.009436033794943689,0.0002819380258096155,0.0,0.002409908019867252,5.003159037976622e-05,0.0031907805565403505,0.0001454805503048831,0.006433634534036895,0.0002305377227642916,0.0,0.0,0.0016064427787758511,7.214571543709437e-05,0.00012258099096927635,6.973247312722143e-05,0.0,0.0,0.0005735252610812468,0.00014182717213574858,0.0005616859373349142,7.273916957031688e-05,0.0003163641528797759,0.0,0.0,0.0,0.00026521689443333743,0.0,9.925379486274152e-05,0.0002606833052598452,0.00022559633942467516,0.0,0.0,7.92121972487029e-05,0.00022184698714809703,0.0,0.0,0.0,0.0,0.0,0.1279850610587216,0.1279850610587216,0.0,0.0
Frontal_Sup_2_R,0.02300158525591186,0.36525462000262454,0.030084496397058694,0.0,0.03699701582388555,1.0,0.00584024303982463,0.0492388849592629,0.01736971346228543,0.08947008350043677,0.004442894180781145,0.04019083595696124,0.0008053179612467822,0.01955327933578584,0.037395732829492614,0.48851049060195056,0.001536401359305214,0.0033944712709242718,0.021402127598879613,0.4003112397677589,0.006046074185148894,0.11578511848500862,0.0027061901615163812,0.009043675343365488,0.0009556490036677201,0.025132908885666626,0.002090853349071215,0.07649950076033239,0.001061658192681656,0.008037711428931378,0.0019237282707141312,0.01200892487364319,0.0057737392217235995,0.03206220244795134,0.03339403318520487,0.053014053049413194,0.01649911044953082,0.08691232742193587,0.00048079736227529807,0.0018140539691937204,0.0007024603837509237,0.004915320969255752,0.0003352628779225958,0.002167437318177759,0.00034174435911339787,0.0033182289067378015,0.00013675120113539662,0.00025345253075154404,0.00011191400734948354,0.0002949735814319325,0.0002974705446466433,0.0008223772570673425,0.00011654072884532024,0.0006738232602996992,0.0003996562834340446,0.001614397579859271,9.914433824116136e-05,7.151828760335799e-05,9.585033812277435e-05,0.0002346663535698528,0.005892115851507426,0.0639411239978493,0.0025908330082260495,0.014086942625788279,0.0023989513158574516,0.004394043092677532,0.0003826268662697406,0.002592130562512895,0.000906886912929485,0.005213738754315399,0.0027256431504004415,0.015928744900252447,0.007523112501686922,0.021891943900998124,0.009022133849979493,0.11222583803292795,0.01154694061965205,0.09201798745723867,0.005298884000160903,0.028372337071269477,0.011121898701855539,0.09107946905744291,0.0,6.349228822850795e-05,0.000805959933272796,0.0025046967177660457,0.0009897662901631559,0.001262809887826165,0.0013106741460976624,0.004994553051017614,6.619515713351482e-05,0.0003244812071203063,0.00045327352410183487,0.001556208591469619,0.00018022714452279356,5.588486543894694e-05,0.0,0.00019783116105513807,0.0005584532072208246,0.0006019529705147834,0.0003666150157171113,0.0,0.0,7.950765509107046e-05,0.0,0.0,0.0001486065458443547,0.00038261020271245134,0.00017049702800214135,0.0002733621809307505,0.0,0.00011590917403715583,0.00021076588519295335,5.553817563936674e-05,0.0001500579237235155,0.0001367141461735121,0.00016653307704657906,0.0,0.0,0.0,0.0,0.0,0.13011554609526238,0.13011554609526238
Frontal_Mid_2_L,0.3972923618092804,0.00402882971960908,0.9479017924114348,0.03699701582388555,0.0,0.057158310292415256,0.056433157516260685,0.007702255098084653,0.4232838302184591,0.01740988039837464,0.03728098091655948,0.007195261753653737,0.002459944772956323,0.0009416250536349787,0.07559070842650253,0.013591416614635954,0.0024253553071032874,0.0005707400602337821,0.12252821344018401,0.027598619397122003,0.016164049737477336,0.004362120937494322,0.004541263661612731,0.00019989351474812092,0.015081464647306473,0.0031688183871604165,0.09731485892275378,0.003653454753646139,0.013070387510000794,0.0010909253742143424,0.03223498074288956,0.0017633979125034449,0.028703284159697067,0.006128358787138568,0.04197198587435082,0.024846346537115187,0.025032866271927585,0.01367397870177377,0.0018126493251091184,0.00014683017072462267,0.001413734703682023,0.0003693030730146685,0.0002777277455689725,0.00035111770787467085,0.00034171375005451177,0.00014023941651071606,0.0005344642503656318,0.0,8.544361731584594e-05,0.0,0.0003503376418561672,8.768580172433022e-05,0.0004126637205507087,9.912816561023068e-05,0.0017802251657942126,3.942197729230249e-05,0.0005821194937465622,0.0,0.0007395204664374316,0.0,0.031166059546184694,0.0009955971662083227,0.008968183645493812,0.0005339823642364575,0.015510800514361905,0.00016482995372730976,0.003197695154517447,0.00027045123508391073,0.006585976618368185,0.0007739687251064347,0.004159067609165799,0.0016607016741635942,0.0042726508738983515,0.0006098879369759448,0.09075202662443671,0.009747347085910272,0.05476560766286416,0.010751189136797703,0.02025966840361991,0.002285810455599278,0.03232080635679017,0.009413343976909998,0.00023803281322136758,0.0,0.0027430682741660223,0.0003614732765498114,0.002075661648873827,0.0,0.014113129567714645,0.0004487407930516502,6.290071398402384e-05,3.2704885375245636e-05,0.004369163407818354,4.6721840705196474e-05,4.0990870169611184e-05,0.0,0.0,0.0,7.546773827062554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.163723206211653e-05,0.0003047581109529492,0.0002874941706837931,0.0001787204875374148,0.0,0.0,6.306934120124734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1297576032720022,0.1297576032720022,0.0,0.0
Frontal_Mid_2_R,0.01113066027255748,0.5208713956879971,0.032001047448141674,1.0,0.057158310292415256,0.0,0.007616388006893749,0.22705794308834618,0.03205112580025488,0.4077070888049091,0.0038054255978686477,0.09249239461670014,0.0006215448516455766,0.015531296889391142,0.02392438634899624,0.05801797605661162,0.0006413069644846187,0.0022734048463028283,0.03207387811361314,0.08635053312957015,0.0073687411034057074,0.010801475074926407,0.0030509913634043147,0.0031119982591133423,0.0013578618120566996,0.013016407215321466,0.0034280185999000837,0.12369612096070312,0.0005127016804674848,0.008675943961109243,0.001875504127500448,0.011800948839128658,0.006428383142675728,0.03182592567432291,0.03567110620531924,0.049426638216398235,0.009373507893256165,0.032101868778849484,0.0003540648266124607,0.0019304737226087563,0.00030198542274071776,0.0035409447816538435,0.0,0.0012198257488768925,0.00014326769774849793,0.0014632539026467784,0.0,0.00014447683340429468,0.00019361433113844424,0.00024893811963619953,0.0006498446408369305,0.0009460340552777456,0.00010464750298133753,0.001086762618039961,0.00014879965951043213,0.0029485905868981035,0.0,0.00019257622943640907,0.0,0.0009102572660660609,0.004147157300661047,0.06824307760752425,0.0015792138456536932,0.014086227833019107,0.0011926678104913283,0.0166121241917923,0.0003016809246690665,0.007648509298571289,0.0002590931069768328,0.013580968937399561,0.001966572284113869,0.009251481415582578,0.002270004335121015,0.0010978071559595778,0.010502989404330426,0.16769840063009311,0.015371935296519049,0.08234681392200797,0.0033970987367336384,0.02562712934801579,0.009621064961211866,0.0737945502836617,0.0,0.00018831032284895419,0.0002686200119152527,0.004587566478710263,0.0006697191199342624,0.0015594331135344677,0.0018827622422165093,0.021792451839218126,0.0,0.0003204051393609047,0.0004136157864106075,0.006089748035719089,0.00010054274796013534,0.00017670990861452836,0.0,0.0002449911036443683,0.00030339817309713854,0.0004288922851560625,0.0006058473615957509,0.0,0.00014024958227848002,0.0002601987210313342,0.0,0.0,0.00014912921877399305,0.00024436450200377195,0.0004615831312348388,0.0007118549780488313,0.0,0.00010362370599530769,0.0,0.0,0.0,0.00012057588008794386,6.217531241596996e-05,0.0001480147440974109,0.0,0.0,0.0,0.0,0.1358439896321582,0.1358439896321582
Frontal_Inf_Oper_L,0.16155888128277246,0.00212208066784128,0.03196826534962923,0.00584024303982463,0.056433157516260685,0.007616388006893749,0.0,0.0017830950115258009,0.16107270733892265,0.001864903383017608,0.0019295730802870825,7.033808467254052e-05,0.09253454326484321,0.0004945814009870598,0.021480484219249852,0.007163307979620021,9.787271524334818e-05,0.0001522969789753738,0.009263185093981306,0.0006581481253599033,0.00045420797648189554,0.00031974421278792764,0.00012337065599503383,0.0,0.00016588383292442631,0.0,0.0001141736575607696,0.00012030925518877556,0.0003139184216222781,0.00044975776496391714,5.081866107923917e-05,0.0,0.07146136563004354,0.000801054205954507,0.004733336176657726,0.0014332204648939602,0.00997404035438331,0.004297806662925826,0.000506901158039847,0.0,0.0028858609028765687,0.0001082392519317648,0.0007650584196829669,0.00020319806778757915,0.00021687565929625079,0.0,0.00016239826775318894,0.0,0.0,7.668960209030143e-05,0.0013044553584038896,7.890436646559388e-05,0.00023215779770792202,0.0,0.0007865444304079109,0.00011325076390212335,0.0002565628525689854,0.0,0.00022576534182139178,7.143191649443902e-05,0.03818129881173796,0.00047985603293494695,0.003697806353997446,0.0004608493200583514,0.013548187435582143,0.00025014950636895747,0.011852128191386873,0.00015699074584494532,0.003070497092946113,5.7013824438738007e-05,0.0020139253563342683,0.0005891993742556124,0.003122173522111705,0.00036856736598435836,0.02937319185522211,0.0015109008561574144,0.022496144631727322,0.0029069468924360687,0.009661142205454581,0.0009290436408156759,0.02694875648823679,0.001987297139463285,0.0006973244359181459,7.124316927906122e-05,0.021322612883229775,0.00020093160846761432,0.021261522781489923,0.0,0.018793736617425907,0.00019832816611964506,5.284602728882176e-05,0.0,0.00411788402046596,0.0,0.00010090590175344428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.888383994329586e-05,0.0,0.0,0.0,5.8552483436653845e-05,0.0,0.00011883274826609484,0.0,7.295421926294864e-05,0.0,0.0,0.00022912217253111844,0.0,0.0,0.0,0.0,0.0,0.0,0.12903344912358963,0.12903344912358963,0.0,0.0
Frontal_Inf_Oper_R,0.0037723752140882806,0.20219718665325473,0.003941514870622,0.0492388849592629,0.007702255098084653,0.22705794308834618,0.0017830950115258009,0.0,0.0037744941041379103,0.2863089093076475,8.653942082572075e-05,0.014864098428848742,0.00027542581183052033,0.14812370710251688,0.00822967995539636,0.031223978646810924,0.0,0.0002516204654246605,0.0028182322088461803,0.00918874655687792,8.589621948817441e-05,0.0005891121091019424,5.1285148884096737e-05,0.00040009929857293467,0.0,0.0001629945516976967,9.017212820127406e-05,0.0005525300889067935,0.00011899588748540862,0.001362488318023887,0.0,0.0011937251381467673,0.0004679317390158894,0.06447233952906833,0.0036761497882712895,0.005675154515583452,0.0032827671924664627,0.010820208940512019,0.0001661898636442202,0.0007315976015105698,0.000255033688805271,0.002236122485731544,0.0,0.0008487618467438432,0.0,0.000639477701030123,0.0,8.685865866193932e-05,0.0,3.989633987525144e-05,4.020328060488139e-05,0.00018389501499767931,0.00012919663874170126,0.0005813587055679867,0.0,0.0014240956126780324,0.0,0.0,4.7941704897997706e-05,0.00029255917367086715,0.0008442709561897225,0.03378442716502517,0.0005758346784532125,0.008634321001301128,0.0003459785829900123,0.02043076295086502,0.0001695529207370304,0.021788792865286757,0.00017471663584359633,0.00919860584290865,0.0008243553230949755,0.0024801237501253064,0.00042927987351170104,0.0005324058400486002,0.0015755474120364313,0.03857429013125264,0.002433942056135092,0.03886917898597931,0.0007943201770780837,0.013424312083342984,0.0018932479063766524,0.035908772659756526,0.0,0.0005917113286849755,0.0003195745438489193,0.008473543600758908,0.00011980283471549233,0.006833790967657155,0.0003235041259681184,0.020831905821177173,0.0,3.1215865817330976e-05,6.115554262258793e-05,0.003925490102320096,4.179837218639255e-05,4.6342825600110986e-05,0.0,0.0,0.0,0.00011999645128174264,0.0,0.0,0.00032427213834757836,0.00011418255011301876,0.0,0.0,0.00011453469198906774,5.170033288885979e-05,0.0,0.0006362899325861802,0.0,0.0002405273018479301,0.0003431567582379525,0.0,0.0001590822996780786,0.0,0.0,0.00011729511103360796,0.0,0.0,0.0,0.0,0.13828585301481738,0.13828585301481738
Frontal_Inf_Tri_L,0.06606371406764339,0.002283579550523226,0.11298919901685318,0.01736971346228543,0.4232838302184591,0.03205112580025488,0.16107270733892265,0.0037744941041379103,0.0,0.008503921086089765,0.1884051036062184,0.003343628710113041,0.013408741595542955,0.0009404165845214737,0.027949452471481756,0.006523852976949247,0.001754247164919933,0.0002831288495131153,0.05712587277631132,0.012012545710978177,0.005096252257836152,0.0024967573888454546,0.0013223716480041977,0.001309190566642403,0.004048320094730535,0.0008196550744009649,0.015682617112502975,0.0013818675442247774,0.008727047782551131,0.0003565653660061717,0.011411044049463843,0.0002249479095218477,0.1823107439320178,0.002389022126702804,0.019020607689048737,0.008243685405887047,0.01563556701767992,0.005463270842958815,0.0018497965053159001,9.12551436782016e-05,0.0021087596405371454,0.00011493878824241782,0.0013280774455922814,0.0002050893236664622,0.0010712929856720702,8.453067788758991e-05,0.00014624225248456417,0.0,5.4652093475062466e-05,5.20283435391914e-05,0.0009395821015113333,0.0,0.0003174035397711399,0.00022938878944774458,0.0009873712360761733,0.0,0.000172994498108295,0.0,0.0003548461458901246,0.0,0.018615455700560307,0.00023423144270715013,0.004005664042265746,0.0003759537880959188,0.008960097499657505,0.00034366630786786235,0.004942012946684261,0.00016994380987395645,0.003994898198849427,0.00036589596027027647,0.0035217438096163335,0.0008703225740657821,0.003599515577042795,0.0002704547314374879,0.09199801181937259,0.004358622189154297,0.0700792982229131,0.0060015955346525195,0.01836145043063314,0.002336788053089248,0.04487712422601248,0.00417390867219638,0.0005391802126943842,4.49869867798307e-05,0.00983995843560571,0.0001919240716862743,0.007718050180702388,8.249924856391856e-05,0.019095368399568196,0.00026048839951299475,0.0,0.0,0.004116211835485452,0.0,0.0001283552508323726,0.0,0.0,0.0,0.0004083265538071245,0.0,0.0,0.0,0.00010484747764262048,0.0,0.0002725129501735008,0.0,0.0001475888914247126,0.00010551085086484692,0.00015464330363219048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1290244161727954,0.1290244161727954,0.0,0.0
Frontal_Inf_Tri_R,0.001583435277506088,0.037027214731760065,0.008981313145662154,0.08947008350043677,0.01740988039837464,0.4077070888049091,0.001864903383017608,0.2863089093076475,0.008503921086089765,0.0,0.0011087310896371323,0.2357472241615822,0.00021450785361779823,0.020882075936606705,0.0032289417910401465,0.020275220024680934,0.0,0.00036498038261175195,0.010125245944194752,0.02892810889459815,0.0016200560888660928,0.002100045689691987,0.0007106859945813769,0.0009995121243098193,0.00022592276154906568,0.003790746492641097,0.00021007629730143983,0.008808389582421383,0.00027028295510728227,0.016597331239544825,4.658885553985138e-05,0.013553410736376604,0.0016174271941816363,0.05967461951796755,0.011512698769573523,0.017146021937087842,0.002430145906203617,0.018831289334734994,6.919571101022282e-05,0.0006202946138788902,0.0,0.0010571616464962344,0.00011978839429626545,0.0005756400840255153,0.00017188666490700353,0.000708323249834815,0.0,0.00023299073210483485,0.0,4.784458928698953e-05,0.0,0.0006964542350219741,0.0,0.0003738599193254848,6.04483492337803e-05,0.0002994224359177022,0.0,5.807676781276579e-05,0.0,0.00046741813824570486,0.0007597223774507688,0.008753267840054669,0.00022300051242216806,0.004050635239576679,0.0003838817818062805,0.007937012290991538,7.661011193294325e-05,0.008651355714882323,9.317574338299763e-05,0.003952300414952984,0.000834419401251328,0.0038376872865021634,0.00039422447064923555,0.0006302401991756495,0.0025021143054260618,0.061996836066509665,0.0036750491792708817,0.05123438217340353,0.0009103201126224864,0.016086548614160107,0.0031156028080705296,0.03129015776302544,0.0,0.0002622836214153655,9.499615818922745e-05,0.007325905156365086,0.0,0.0012827232778264942,0.00021736553195911049,0.015113025400864483,0.0,5.990532082098656e-05,0.0,0.002417007250059107,0.0,4.600760272270845e-05,0.0,0.0,0.0,7.311915455430562e-05,0.0,0.0,5.360109597575711e-05,9.332106955891483e-05,0.0,0.0,0.00016821869465033623,0.0,0.0001485258024278367,0.00015767863345492566,0.0,0.0,4.108871219197896e-05,0.00013129399189189812,5.6824486515221634e-05,0.0,0.0,0.0,0.00015284202697139903,0.0,0.0,0.0,0.13089986082399493,0.13089986082399493
