,x_labels,numbers_of_receptors,receptor_density
0,L.BSTS,29921.20821869281,12.556109197940751
1,L.CACG,15916.643942827954,10.961875993683163
2,L.CMFG,48292.12592063038,9.203759466481872
3,L.CU,38764.71794997723,16.439659860041235
4,L.EC,21554.672225496884,13.387995171116078
5,L.FG,142570.60543146223,14.222925521893679
6,L.IPG,142117.60079568293,11.602383933029873
7,L.ITG,121595.82493224375,12.315995637824749
8,L.ICG,38567.89905783807,14.553924172769083
9,L.LOG,116794.6172968876,10.112963658921776
10,L.LOFG,125643.38974559677,18.29669284193924
11,L.LG,80123.82382511107,11.368306445106565
12,L.MOFG,108281.2685857706,23.442578174013985
13,L.MTG,166127.4117620139,14.76032090288884
14,L.PHIG,28106.15085990467,14.450463167046102
15,L.PaCG,45251.276545595334,14.172025225679716
16,L.POP,60286.947731644155,15.533869552085585
17,L.POR,25635.496557843348,12.336620095208541
18,L.PTR,48602.454975473454,14.630480125067265
19,L.PCAL,21379.68146001335,13.50580003791115
20,L.PoCG,84542.26213499182,10.694783318784545
21,L.PCG,34278.19330105328,12.676846635004912
22,L.PrCG,109514.4840895962,8.537144066853461
23,L.PCU,171375.33525794937,17.794137188033368
24,L.RACG,35898.01529890399,15.689692001269227
25,L.RMFG,140620.68910243904,10.307167712558751
26,L.SFG,263655.4954986407,13.823493708312311
27,L.SPG,123891.38733769207,10.170871631039493
28,L.STG,150329.53006936563,12.566206642929503
29,L.SMG,133962.73607895582,12.71959134817279
30,L.FP,16227.496323366347,18.336154037702087
31,L.TP,40166.151438540575,11.792763193934402
32,L.TTG,14633.236800239465,15.940345098300071
33,L.IN,168530.57758506646,27.296821766288705
34,L.CER,138068.5987596729,2.577445466690429
35,L.TH,102527.74985989272,12.439668752716903
36,L.CA,137586.7181440254,37.95495672938632
37,L.PU,300955.0190957919,55.09978379637347
38,L.PA,41491.97194689108,21.05122879091379
39,L.HI,48487.15823896783,12.046498941358466
40,L.AM,27192.879389213762,15.63707842968014
41,L.AC,10726.886134842283,28.303129643383333
42,R.TH,107199.94638462391,13.624802539987787
43,R.CA,174695.85882088923,48.907015347393404
44,R.PU,336345.17129032937,62.599138524163294
45,R.PA,55401.94697429786,26.457472289540526
46,R.HI,48231.813839695234,11.494712545208587
47,R.AM,27724.093503283166,17.613782403610653
48,R.AC,21423.50983380249,42.42279175010394
49,R.BSTS,22121.784026428788,10.255810860653124
50,R.CACG,20222.460821485653,11.020414616613435
51,R.CMFG,49436.02734104284,10.43174242267205
52,R.CU,54232.492290923474,17.404522558062734
53,R.EC,21447.021762216515,12.735761141458738
54,R.FG,142738.77452972482,15.701108187187858
55,R.IPG,159368.67082474785,12.251589085543346
56,R.ITG,173203.52675397982,16.522324406561083
57,R.ICG,27516.92677519002,12.068827532978078
58,R.LOG,107364.73900070616,9.762205764748696
59,R.LOFG,127468.05256728694,18.132013167466138
60,R.LG,59947.79577142525,7.965425959530328
61,R.MOFG,105272.52053989482,22.02814826112049
62,R.MTG,211228.0831427694,17.415127639769924
63,R.PHIG,29879.894977929976,14.455682137363317
64,R.PaCG,49779.46931371889,16.13074183853496
65,R.POP,60753.820285234004,18.47182130897963
66,R.POR,40319.66087019649,15.078407206505792
67,R.PTR,64329.07350375535,16.22013956221769
68,R.PCAL,30015.653823644498,16.47401417324067
69,R.PoCG,115508.10567893185,13.777207261322978
70,R.PCG,27030.594451623623,12.24211705236577
71,R.PrCG,111208.70869950563,9.810224832348768
72,R.PCU,184008.756461701,18.91537381390841
73,R.RACG,15264.522677271021,11.679053310842404
74,R.RMFG,224797.34055616686,13.065055245621693
75,R.SFG,232010.73098033472,12.91603468130795
76,R.SPG,137431.57322785683,10.176347517797618
77,R.STG,199935.16358449834,17.429619351800046
78,R.SMG,161149.90017923006,15.456541356150973
79,R.FP,16268.658034047381,14.803146527795615
80,R.TP,39898.297188105134,15.89573593151599
81,R.TTG,8947.406679348973,12.548957474542739
82,R.IN,139224.23909217457,22.601337514963404
83,R.CER,86458.38901468797,1.6285862909638331
