,L.BSTS,L.CACG,L.CMFG,L.CU,L.EC,L.FG,L.IPG,L.ITG,L.ICG,L.LOG,L.LOFG,L.LG,L.MOFG,L.MTG,L.PHIG,L.PaCG,L.POP,L.POR,L.PTR,L.PCAL,L.PoCG,L.PCG,L.PrCG,L.PCU,L.RACG,L.RMFG,L.SFG,L.SPG,L.STG,L.SMG,L.FP,L.TP,L.TTG,L.IN,L.CER,L.TH,L.CA,L.PU,L.PA,L.HI,L.AM,L.AC,R.TH,R.CA,R.PU,R.PA,R.HI,R.AM,R.AC,R.BSTS,R.CACG,R.CMFG,R.CU,R.EC,R.FG,R.IPG,R.ITG,R.ICG,R.LOG,R.LOFG,R.LG,R.MOFG,R.MTG,R.PHIG,R.PaCG,R.POP,R.POR,R.PTR,R.PCAL,R.PoCG,R.PCG,R.PrCG,R.PCU,R.RACG,R.RMFG,R.SFG,R.SPG,R.STG,R.SMG,R.FP,R.TP,R.TTG,R.IN,L.SN,L.VTA,R.SN,R.VTA,R.CER
L.BSTS,0.0,0.0,0.006348959948141055,0.0001998465756076444,0.0,0.0004620606752421776,0.09542265734749812,0.010461576905391536,0.001581896336712623,0.004504957351610836,0.0003066931734896714,0.00040316392528925543,0.0,0.22515995468629807,0.0,7.853083017058456e-05,0.004977366091689709,0.0,0.0007093103499816435,0.0003232456060094306,0.006620883205653363,0.00028097424856683175,0.01970654119073312,0.004087229479362255,0.00010595098912774127,0.003072661288122625,0.0031798706924940487,0.005489865675670087,0.2380990993167691,0.07042390028313192,0.0,0.00038946280097282055,0.006402471512784637,0.005771446993618307,0.0,0.004718206355909233,0.0018017810024127598,0.0032013952855208336,0.00038344568775449875,0.0008921968510040723,0.0,7.722266316925652e-05,0.0005596035826245025,0.00013455103937720279,0.00016515974117117167,0.0,0.00016320121154386982,0.0,0.0,0.00012474114026311532,4.440406256370693e-05,0.0003152501557718005,0.0001264768955317386,0.0,0.00010317499682631451,0.0002054162700316944,0.0,0.0003708735308007944,0.0002334954440944153,0.0,8.014709330795188e-05,0.0,0.0,0.0,0.0,0.00017984385117594684,0.0,6.98000849683182e-05,6.127719977933803e-05,0.0,0.00011414255838028115,0.0002467345475933096,0.0014391011538586313,0.0,0.00013662299591722343,0.0008767515155866875,0.0017831128265623183,0.0,0.00020743849794903582,0.0,0.0,0.0,0.00020037581894265268,0.020057958454322962,0.020057958454322962,0.0,0.0,0.0
L.CACG,0.0,0.0,0.014642718516594691,0.0,0.0,0.0,0.0006437642851375775,0.00017091741495575612,0.010859506319589365,6.637277765123047e-05,0.003033840866515365,0.0,0.014343021802109359,0.00011208273998899269,0.0,0.0031504497363154397,0.006147224004905413,0.001440510239464388,0.002617288782957349,0.0,0.0005969775787809286,0.09773194142768188,0.0052469533956387435,0.014374721884647917,0.09235907913863646,0.026659098173008742,0.17888232567672596,0.0017477491708033672,0.00024885851926242355,0.0005536717102111389,0.0008292925917670207,0.0,0.0001517655600979975,0.003372917070777887,0.0,0.006603713501229498,0.04256531675339055,0.008161982364629188,0.0029087097438822112,0.00019333985697329742,0.00047726815229903117,0.0006187894233338271,0.0038162217459594395,0.004669659463753356,0.0043362542812371485,0.0003276381159329184,0.0,0.00020523519646035174,0.00011162451330688764,0.00011264750321793872,0.02868629892177155,0.005146069979499087,0.0,0.0,0.0,0.0003120916652638374,6.762407117930814e-05,0.00012740507061518149,0.0,0.0013925515385526002,0.0,0.0021068432143460723,6.511320951477337e-05,0.0,0.0005004873820372362,0.002050569276188024,0.0017903349325177553,0.0053993752563389,0.0,0.00024980349033566193,0.016610316166145802,0.0018546160156418716,0.0005865891665527679,0.01081619221496948,0.02582198777288789,0.0500985568908487,0.0003717351041551907,0.00013358896384787393,8.747127076059576e-05,0.0002603322932866043,0.0,0.0,0.0011497652323005515,0.017511224997851807,0.017511224997851807,0.0,0.0,5.9932834258222097e-05
L.CMFG,0.006348959948141055,0.014642718516594691,0.0,0.0,0.0,0.0008330792623184759,0.023707454023381654,0.007522881511506691,0.002413593670026846,0.0017201785111405953,0.00010921158969120382,0.0002129121860944097,0.00018204185090017581,0.01101601910464373,0.0,0.00621970363633201,0.06711479234590176,0.00014764396841027204,0.006353816005790257,4.141489306122381e-05,0.028183341492016525,0.0064867861245559095,0.33357572101501776,0.00616973864171496,0.00018867846854742632,0.20564950361103881,0.4240444954436062,0.01456148763466872,0.005005652657282533,0.011345796339868784,0.00012809885758391715,0.0,0.0005571212810831106,0.007183995850730782,0.00022481628988008795,0.02315418087861513,0.030420541757012472,0.020473236158039965,0.0050380389597260425,0.0009267522016820494,9.334828629911683e-05,0.0,0.008038182335754783,0.004304470253452047,0.005409924919323094,0.0012289912992314602,0.0005935644493459518,0.0,0.0,0.00026142896422818603,0.005785460999154197,0.016097126350270725,0.0,0.0,0.0,0.0010367105651399135,0.00012154201124862166,0.00014184753583564632,0.0,0.0005750350640493874,0.0,0.00010368615246891485,0.00015959365194695237,7.947705053231963e-05,0.0016927353136069827,0.006044113732019572,0.000459943181365271,0.003384215982970753,0.0,0.00043812643990992896,0.0015703199205285884,0.00765101978337152,0.0015936013023695197,0.0007480814246932739,0.0227804912857411,0.0449906809034596,0.0010012377547264381,0.00010994201860002736,0.0003729928407730171,0.00025361507339631404,0.0,6.88255551123049e-05,0.0022140492834256697,0.014702693493025016,0.014702693493025016,0.0,0.0,8.852755189659893e-05
L.CU,0.0001998465756076444,0.0,0.0,0.0,5.5202252986420195e-05,0.004066364179060702,0.006325891454314031,0.004401138334996753,0.016907299672788298,0.1124056174597575,0.00014200245917677916,0.08192330158689852,7.774166542325117e-05,0.002573338003903362,0.001570393832908835,0.0,0.0,4.882679447250593e-05,0.0,0.6151081075524203,0.0,6.749283419384768e-05,8.06293880727708e-05,0.04942002683474961,0.0,0.0,0.00025387674535486674,0.1982242964598266,0.0017559289952017076,7.451128298927071e-05,0.0,0.00023424082976274713,9.69491753123929e-05,0.0013259093425829717,0.0,0.009018008442388575,0.0,0.0019370833307320295,0.0005000120508990398,0.006729068119261288,0.0002091285924942538,0.0,0.0007146067779702551,0.0,0.0004227507484704312,0.0,0.0009392962804911955,0.0,0.0,0.0,0.0,0.0,0.00616219565947929,0.0,0.0005073244719299933,0.0009808475195109008,0.0002627666745889748,0.0042085339542120405,0.006138327852363791,0.0,0.00491517167123626,0.0,6.264686724835005e-05,0.0001480313558075944,0.00017665991991025514,0.0,0.0,0.0,0.009833947489661031,4.234050787441318e-05,0.0,0.0,0.005035091953710337,0.0,0.0,0.0,0.006202313821927095,0.0,0.00021156988344164576,6.974699791884641e-05,0.0,0.0,0.0,0.026261798880340054,0.026261798880340054,0.0,0.0,0.0
L.EC,0.0,0.0,0.0,5.5202252986420195e-05,0.0,0.1241085114531598,0.0008482371341391689,0.030241185621896476,0.0006701734111084662,0.0005860802993444983,0.00027163551244012164,0.0026567885591665444,0.0,0.003914467505363762,0.03793955727971558,0.0,0.0,8.411915981471639e-05,0.0,4.819992926659943e-05,0.0,0.0,6.348759599282074e-05,0.000251665805469538,0.0,0.0,0.0,7.189441109851183e-05,0.005859834247332015,0.0,0.0,0.10756075286098132,0.0,0.019031838657690498,0.0,0.005296945930512252,0.0,0.0029629469562070412,0.0006752454530020051,0.19014272244017785,0.13948022638038016,0.0002320577443839107,0.0,0.0,0.0,8.676108880824932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4143265878268214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021386868073189708,0.021386868073189708,0.0,0.0,0.0
L.FG,0.0004620606752421776,0.0,0.0008330792623184759,0.004066364179060702,0.1241085114531598,0.0,0.027482170807977335,0.32664528155197076,0.008687480772287502,0.37328011548808615,0.0009510214314113128,0.16821365154507173,0.0007972421763448766,0.030702488216154313,0.09411477382283996,5.6531206760242565e-05,0.0002173098628283488,6.798952662301337e-05,9.356087355838293e-05,0.017262787513985828,0.0006098399639604987,0.0005660835996451364,0.002472686157267634,0.011992549343376888,0.0003405877932183135,0.0005801112278237997,0.00024219537736958126,0.015735756962936075,0.014864963263706104,0.0024985502502850106,0.0,0.10377954095222823,0.00024622636093880315,0.015209153571169427,9.559691305410976e-05,0.031132799386773703,0.0005705314060079393,0.009702934173111428,0.0024519003333071344,0.22795920369997313,0.0342264935109546,7.294531528139988e-05,0.0007932008707222375,0.0,0.0006805731748963036,0.00012938456823892566,0.000640085435123919,0.0,0.0,0.00015972483495081067,0.0,4.80048359021221e-05,0.0009000456717880916,0.0,0.00026374921300118746,0.0017429132521474473,0.0007151558479764118,0.0012838579910140469,0.0023020197220574583,0.00018648077728949282,0.0011394999945200507,7.038511443288467e-05,0.0008069171600129279,9.183434914365541e-05,4.010142815126903e-05,0.0,0.0,0.0,0.001314899937576002,0.00013266934870413447,0.00018622943124018586,4.4592851648268044e-05,0.004726842560047729,0.0,0.0,0.0001781261604647604,0.004476755060937888,0.00041980380029215845,0.0005464869441007883,0.0,0.0,0.0001976598657498353,0.0005945983242614087,0.022720640981989913,0.022720640981989913,0.0,0.0,0.0
L.IPG,0.09542265734749812,0.0006437642851375775,0.023707454023381654,0.006325891454314031,0.0008482371341391689,0.027482170807977335,0.0,0.08956407477734912,0.02062814305791995,0.21589610522677877,0.0005498772277507475,0.00424361514738412,0.0013693834872286676,0.2246503327766768,0.00021267845347058026,0.0017491537759361823,0.005185930813579359,0.00012649582379480197,0.0005691103519099097,0.004575876822207578,0.020954924686336467,0.0023800175610275425,0.06133259960113096,0.0800877721585021,0.00011722943072606507,0.009346195396977926,0.012241314125515821,0.45668443251341306,0.05166837503503805,0.2696137163717376,0.0,0.0006974747141461014,0.00837068416315685,0.014832675088247047,0.002810040741729536,0.0682092913030362,0.007450338027556898,0.03562935622948661,0.010585128476232327,0.015315769621342214,0.0022043391037532907,0.0002571570723379326,0.004547324537963995,0.0007527588186640574,0.0024050045474846267,0.0008684923729362688,0.0015013777921473468,0.0005196177213708776,0.00017501683562848563,0.00017623710515888357,0.0002132454569359989,0.0008421141977023148,0.003081704956958456,0.0,0.002176309091506434,0.006169359623393821,0.0004790591268903946,0.003442512954914349,0.006231034320553326,0.00024363345880712715,0.003738651410428423,0.00012341076368850465,0.0017478165205631886,9.999196396870778e-05,0.0018210091409854154,0.0003593084815997489,6.052933095732741e-05,0.00022102082032755092,0.0029920806030221017,0.0008106235676342697,0.0008842121932309601,0.0031381391896270223,0.01937959257408735,0.00016192382947884215,0.0008236637296516483,0.003226438013765446,0.01907806113677829,0.0024383342671024013,0.001854571291884836,0.0,0.00011399589422421218,0.00019054765862386582,0.001577616617490117,0.018534414700533533,0.018534414700533533,0.0,0.0,0.0002485696405765991
L.ITG,0.010461576905391536,0.00017091741495575612,0.007522881511506691,0.004401138334996753,0.030241185621896476,0.32664528155197076,0.08956407477734912,0.0,0.003044554996016696,0.14611508716555552,0.0019962817337312424,0.02841047550895757,0.0015758648566765896,0.29147257796277676,0.00577414516758501,0.0004925739838342342,0.00398550356272484,0.00010902910103073029,0.00018128513487922476,0.014746090419024895,0.004957820776504436,0.0005609314374871461,0.015345488881779805,0.016181133702620875,0.0001507694761595793,0.002778192578017842,0.002796676963865622,0.026298775332770516,0.03684681568398587,0.011051195916583696,3.97405187295951e-05,0.04521016546331148,0.0004478226460591182,0.019974043077444076,0.00048748564335280214,0.028361343595048775,0.0017685702833080833,0.016861275842139027,0.004748398261900422,0.05290657981187315,0.028924106103889943,0.00016677360212726187,0.0021151182700015164,0.0001428606162669511,0.001559848164563183,0.000513507833058326,0.0002629498071728399,0.00013503590212393275,0.0001124274317951757,9.894883892021173e-05,4.1462882705160834e-05,0.0004770890991819245,0.0007213286209991489,0.0,0.000436529664130786,0.002922666490361976,0.0009327645008982456,0.001655142757512646,0.0024965354564053916,0.0002928428555935446,0.0011897376791261461,0.00012357757454950453,0.0012602947905096251,5.039299353009842e-05,0.00023171445995520088,5.486801818765789e-05,0.0,0.0,0.0005797897481063605,0.00013012482565509265,0.00017285503442404518,0.0006964884124450825,0.00793896601414217,0.0,0.00022856689300992993,0.0006811051211672278,0.006874759044888492,0.0011976938114785737,0.0004490617590243498,0.0,0.0,0.0001602259076013744,0.000993350518321131,0.019674385188337327,0.019674385188337327,0.0,0.0,0.00025160896284291733
L.ICG,0.001581896336712623,0.010859506319589365,0.002413593670026846,0.016907299672788298,0.0006701734111084662,0.008687480772287502,0.02062814305791995,0.003044554996016696,0.0,0.03144919318519225,0.00022240043583459618,0.043863511336280796,0.0003066522477239038,0.006573816639394219,0.02738005074274696,0.0008100811257976391,0.0014340087416220898,0.0,0.0007386638561488956,0.014512088785595281,0.0004343569008053657,0.06658459223712852,0.0015186502505501146,0.33788463092746707,0.0016071707655593427,0.0017965366203998737,0.012976497388722976,0.03589640354484118,0.0061794394536515305,0.004884027263738379,0.00022642400078940953,0.00025081704503389574,0.0010358689996806166,0.002531415209518962,0.0007932829574593235,0.012618027283812196,0.0011317103105807256,0.005638513663314233,0.0009171245791578566,0.035532689420365436,0.0003352116112689769,0.0,0.0036709028345405527,0.00033591384250255423,0.0015427031991362195,0.00048423137406005713,0.002394081291330281,0.00010966979323833688,0.00020028431241606528,0.0008995324764121119,0.00042991165856864655,0.00014658832348600368,0.006421215721721118,0.0,0.0015428247232891986,0.0053384728508203754,0.0014558203355461263,0.033359690021833394,0.008676274226471024,0.0002167640779882397,0.004730243809674494,0.0,0.0030382244270604503,0.0008139082324246179,0.0005957768390228701,0.0001044969291360833,0.0,0.0,0.004291170586451851,0.0004867954500164099,0.0010303422900348577,0.0006859394088076086,0.031696549785917176,5.433603335844747e-05,0.0005933989417550507,0.0010622713740954606,0.019950032319335554,0.0036315004218617315,0.002059490321959695,0.0,0.0,0.00048695856699352023,0.002555014481300814,0.02324940009701773,0.02324940009701773,0.0,0.0,0.0001287905277026993
L.LOG,0.004504957351610836,6.637277765123047e-05,0.0017201785111405953,0.1124056174597575,0.0005860802993444983,0.37328011548808615,0.21589610522677877,0.14611508716555552,0.03144919318519225,0.0,0.0008525784810717041,0.4140439426143992,0.0006075599623274145,0.07375210136058842,0.0017763038418049182,0.00031638808022459104,0.00041524336902900574,0.00018190526973614371,6.273702037906618e-05,0.2103835007961835,0.0006583582420116375,0.0008140590955781355,0.0024502227393585507,0.04847072053763505,0.0,0.0009281556789849724,0.0009874638477875579,0.2153795664617367,0.03177244887033781,0.0018181051428829717,0.0,0.0015401894629513918,0.0026033865887419676,0.01251202660654798,0.0007528087516456567,0.07226836375529859,0.0016779927299600515,0.025853772055157792,0.00707105130603766,0.025564926868773447,0.001747975095374094,0.0,0.004127730012774247,0.0001184841520858527,0.0012475639276468384,0.000650456438285521,0.004930883336453261,4.273981749405987e-05,0.0,0.00033438896636108514,7.427758892372848e-05,4.8161941642296955e-05,0.015566012024514056,0.0,0.004230015307975847,0.0062087216231320975,0.00118424003471709,0.006632757989717655,0.026011340745404843,3.1081031169525385e-05,0.011156881748083745,0.0,0.0018135239903964218,0.0006458501689308436,0.0,0.000124812392121569,0.0,0.0,0.016458865958853427,0.00020069434509531256,0.0001596072784455605,0.0005235282912657863,0.0234003838192505,0.0,0.0,0.0006944997032465865,0.025848294210428988,0.0013238379374264529,0.00043765157147117767,0.0,4.223441474787231e-05,0.0,0.001058001949935572,0.01615511634400235,0.01615511634400235,0.0,0.0,0.00021114913155862632
