,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,LH_Vis_1,LH_Vis_2,LH_Vis_3,LH_Vis_4,LH_Vis_5,LH_Vis_6,LH_Vis_7,LH_Vis_8,LH_Vis_9,LH_SomMot_1,LH_SomMot_2,LH_SomMot_3,LH_SomMot_4,LH_SomMot_5,LH_SomMot_6,LH_DorsAttn_Post_1,LH_DorsAttn_Post_2,LH_DorsAttn_Post_3,LH_DorsAttn_Post_4,LH_DorsAttn_Post_5,LH_DorsAttn_Post_6,LH_DorsAttn_PrCv_1,LH_DorsAttn_FEF_1,LH_SalVentAttn_ParOper_1,LH_SalVentAttn_FrOperIns_1,LH_SalVentAttn_FrOperIns_2,LH_SalVentAttn_PFCl_1,LH_SalVentAttn_Med_1,LH_SalVentAttn_Med_2,LH_SalVentAttn_Med_3,LH_Limbic_OFC_1,LH_Limbic_TempPole_1,LH_Limbic_TempPole_2,LH_Cont_Par_1,LH_Cont_PFCl_1,LH_Cont_pCun_1,LH_Cont_Cing_1,LH_Default_Temp_1,LH_Default_Temp_2,LH_Default_Par_1,LH_Default_Par_2,LH_Default_PFC_1,LH_Default_PFC_2,LH_Default_PFC_3,LH_Default_PFC_4,LH_Default_PFC_5,LH_Default_PFC_6,LH_Default_PFC_7,LH_Default_pCunPCC_1,LH_Default_pCunPCC_2,RH_Vis_1,RH_Vis_2,RH_Vis_3,RH_Vis_4,RH_Vis_5,RH_Vis_6,RH_Vis_7,RH_Vis_8,RH_SomMot_1,RH_SomMot_2,RH_SomMot_3,RH_SomMot_4,RH_SomMot_5,RH_SomMot_6,RH_SomMot_7,RH_SomMot_8,RH_DorsAttn_Post_1,RH_DorsAttn_Post_2,RH_DorsAttn_Post_3,RH_DorsAttn_Post_4,RH_DorsAttn_Post_5,RH_DorsAttn_PrCv_1,RH_DorsAttn_FEF_1,RH_SalVentAttn_TempOccPar_1,RH_SalVentAttn_TempOccPar_2,RH_SalVentAttn_FrOperIns_1,RH_SalVentAttn_Med_1,RH_SalVentAttn_Med_2,RH_Limbic_OFC_1,RH_Limbic_TempPole_1,RH_Cont_Par_1,RH_Cont_Par_2,RH_Cont_PFCl_1,RH_Cont_PFCl_2,RH_Cont_PFCl_3,RH_Cont_PFCl_4,RH_Cont_Cing_1,RH_Cont_PFCmp_1,RH_Cont_pCun_1,RH_Default_Par_1,RH_Default_Temp_1,RH_Default_Temp_2,RH_Default_Temp_3,RH_Default_PFCv_1,RH_Default_PFCv_2,RH_Default_PFCdPFCm_1,RH_Default_PFCdPFCm_2,RH_Default_PFCdPFCm_3,RH_Default_pCunPCC_1,RH_Default_pCunPCC_2,Left-SN,Left-VTA,Right-SN,Right-VTA
Left-Cerebellum-Cortex,0.0,0.15313151433842617,0.011566285526247545,0.021687146088947958,0.06278936344253545,0.03730902180687021,0.008490294656786091,0.008131909846661881,1.0,0.07496840668844272,0.007312976189312638,0.00905965645885269,0.04259363797324379,0.017833034236449524,0.0050684681611267764,0.004825654358960292,0.0005306331954522067,0.00012838773626974107,9.559691305410976e-05,0.00014112890190680046,8.770065400965698e-05,0.0,0.0004245953229364827,0.0007456217954246084,0.0002961169515574393,0.0005675840298326794,0.0006615975622565331,0.00012246620133310828,0.001457911478689734,0.0030346015058420103,0.0034044720237802165,0.00020155197779278132,0.00023990177237286195,0.0010440791617391239,0.0003159119547856837,0.00035997644608371426,0.0007256810341600382,0.0011674302449110874,0.001491147083312809,0.0002721820067527107,0.0007751265233374463,0.00018227967455825014,0.0001125066228049122,0.0005907214273184927,0.0010246060700811325,0.0015635580694211594,0.0004067621075107877,0.0006066669254108694,0.00013537949887476643,0.0009774463585681928,0.0006956173229054688,0.00017377378200632922,0.0008398062143203912,5.355598379014883e-05,0.00014084031626395663,0.0,0.001210563341508716,0.0003359636598092928,0.0003372343635790203,0.0003081380720323497,0.0006653923030574458,0.0006855293298584168,0.0002223701367327105,0.00011842124424069487,6.977705024769472e-05,0.00031855311261347774,0.0031657678795116613,0.0001057898039208072,0.0002131243260775477,0.00016293912315581906,0.0,0.0,0.00028736607121772844,0.0002767368316409399,0.0005393559706565608,0.00017506042191605303,0.0005358556493673057,0.00035135942854880466,0.0005966178723778071,0.0010476306151727018,9.872290278200369e-05,0.0014306357243730262,0.0006769453644870805,0.0003720392557784748,0.0,0.0002915682690043207,0.0004092201404663733,0.0006310459575738779,0.0005938579087562649,9.98095755597803e-05,0.0003067979402111418,0.00047162824709027617,0.0003744000408785457,0.0005410593022616889,0.0,0.0003251635723188617,0.0,5.950312142931589e-05,0.0004422419972257477,0.0002951100365962167,0.00020281227853669013,0.0008337481252105276,0.0,0.0,0.00029314707276591645,0.00010272726185408824,0.00022198196274633532,0.0003425796526288544,0.00039747234812015944,0.0002117332934617367,0.0002282121567699964,0.00023921612120267192,0.0008387686146744159,0.0005772763531623734,0.0,0.00020502533912780197,0.003813564191721519,0.003813564191721519,0.0,0.0
Left-Thalamus-Proper,0.15313151433842617,0.0,0.31011406651619416,0.23381551680839688,0.14838669384599065,0.3420202681151365,0.07166341824532937,0.12978395146634286,0.03800464863053746,0.05924871463475791,0.008762070317031797,0.013575608709842896,0.01926756975367628,0.009685635248300494,0.0038319999704913782,0.018060657758555206,0.007053683998104841,0.025256836605161138,0.01229680673975421,0.024160738204013998,0.016433159627067206,0.0161588612446279,0.01952289738567587,0.032439430808179626,0.013797157096220057,0.018657585435201074,0.021693233856371265,0.0262298255023714,0.048257582284304275,0.09385569584605119,0.15179388432925206,0.02774916518280384,0.018414711216054844,0.04466241818569222,0.01666678340856391,0.02522268928984308,0.027302563488756783,0.04479728558810225,0.06701545423793984,0.015568658823419214,0.02291436088451309,0.023386649577221353,0.010731016920540253,0.039781166158512876,0.014570634192437433,0.0373987622675202,0.010972014180115286,0.03309782439271709,0.012465826373663747,0.03010536294949484,0.03597601842582596,0.010500951664066968,0.009496103831887471,0.018535619597046114,0.006273020381374961,0.0061292217538055594,0.04177207902480179,0.009594270986368019,0.02997593290946812,0.005201501419087308,0.0076140744859610554,0.04089347776408274,0.014853191802355389,0.007118422606150243,0.005210706747396999,0.033742175465577166,0.0011458615759064913,0.0015593787521220339,0.0021294310752704632,0.0023632704824194358,0.002126811868675433,0.007033338106847206,0.0017520803846180954,0.004337893517401876,0.0017008591320935267,0.0008518574912315254,0.00038685570553571847,0.000787823720959897,0.0019693418837871185,0.002913336954242532,0.0023757060967673936,0.0091124978689016,0.0011991757491116959,0.0006465165679483589,0.0012591133568858423,0.007472478882260674,0.007833548729543246,0.002971404662467763,0.007388804685077358,0.00021813346783758507,0.0006537319956084918,0.00248603535238742,0.006590439263419539,0.006924354228903318,0.00035573383921239956,0.00035249499709026123,0.0005645514128524627,0.0032331511002073625,0.0007916185581565283,0.0021719406728006306,0.005214130075498873,0.004640005214515381,0.005278428209097479,0.004309889528142882,0.0076006556815658355,0.002003375756769088,0.0005605927376387547,0.0011045296178646667,0.0010741281128814491,0.0,0.0015389141572501196,0.0028318624225014298,0.006081624953263424,0.005494112651195317,0.002260204505293644,0.007722121989401771,0.018324984155362472,0.018324984155362472,0.0,0.0
Left-Caudate,0.011566285526247545,0.31011406651619416,0.0,0.41936648441298896,0.22177856445895391,0.021151989443485616,0.00785425975428288,0.07099510542965526,0.0026741679628340016,0.00571492951746405,0.025999682817002195,0.005385099509439557,0.0024072027997656307,0.0003849861722905242,0.00024017454140639843,0.024040292383656296,0.00024729945734374516,0.00030540479845703417,4.656446024650257e-05,0.00015892938520270544,0.00018911837233157353,0.0,0.0012024302381866772,0.001403953401371627,0.0,0.002204570341655966,0.007601087769585219,0.014411683276287387,0.02179923317445586,0.023970162409408146,0.04651635794296267,0.0015465290294838978,0.003479535014162472,0.0036905762866250172,0.006266521466937887,0.004442738608589968,0.005200726277988929,0.04641426653039537,0.028976359615737704,0.00290680879334481,0.010515175604051966,0.029615342781256854,0.03590419169801649,0.06989517099563779,0.007017057897761226,0.014873587250651417,0.16961989674884062,0.0008758697492574166,0.0009301712459582439,0.004539454957398285,0.07164085168014693,0.00033571422239518964,0.0021997329346501618,0.0009803360939602912,0.002210848941753053,0.0012876085208831443,0.005373725034571748,0.03137998476942551,0.07440797487767035,0.10703863948533426,0.056231836098487455,0.05107204458577077,0.020749676414760998,0.008832335218293453,0.000533243730288506,0.004080868125469702,0.0,0.0,0.0,0.00010319660489032081,0.0,7.759637008636893e-05,0.0,0.00011614687597333465,0.00011088590232957343,0.0,0.0,0.0005346234190562957,0.00023411400384531307,0.0009314149454317066,0.0007249016940642196,0.003288934542252973,0.00014282412084835357,0.00022814610642445246,5.595576674164023e-05,0.0004763345636321004,0.0015878659268422795,0.0013123583642359216,0.002019931825335297,0.00013851720646606384,0.0001204042429568943,0.0022829786837163897,0.0005612395991722737,0.0033841470600328286,0.02714818413950317,5.72635443042701e-05,5.504435294553429e-05,9.293653006444297e-05,0.006766278620569386,0.0028726643274842286,0.004649931671475095,0.002939305204760438,0.00034177527278149043,0.004630470247554726,0.0010166063437294795,7.239695474772217e-05,0.00017282680204633996,0.0,0.0,0.0021086003347614963,0.0019388494853540784,0.026585224266214392,0.0075667101340517896,0.00296858808756932,0.0,0.0007588992065815864,0.07399030613124956,0.07399030613124956,0.0,0.0
Left-Putamen,0.021687146088947958,0.23381551680839688,0.41936648441298896,0.0,0.1594031739978554,0.03964959857430004,0.09046345852866475,0.22385686914665315,0.003931402933491959,0.012260730488294146,0.004648418393666339,0.006247932763572686,0.004890490137744648,0.0013068198403310357,0.00022533164452013716,0.005080590412276691,0.0020880554962386133,0.008459282523491603,0.002421627481904151,0.007298435751340867,0.005107261059828814,0.0015968735822380997,0.009969917836445862,0.010798464747573655,0.0032616439699865952,0.028083854225177268,0.09057969700370457,0.039787020077637514,0.031097076788065673,0.055879873672312376,0.07479016196895724,0.009386082560584449,0.012840643048400267,0.02031089261004023,0.008914489937495483,0.013375010725762516,0.013289842965622616,0.03764722316987168,0.04356034756859619,0.011296408846210783,0.27136877730422565,0.10745663753549957,0.017073189773463473,0.03553864637108857,0.009136185928850833,0.02272628359749658,0.3787090541002127,0.038180690777285906,0.007221025872265157,0.016526213713636898,0.03474942368607324,0.0019085530517027995,0.004595399731172317,0.025961897415491455,0.0076202245944227195,0.0035986815552039963,0.024945809083068014,0.13763704236471488,0.07431808470675953,0.027613467273451354,0.042728453522469456,0.04617268087521732,0.011251278993300164,0.008666660380822755,0.002192232025289292,0.013075122692769028,0.0003150920359486795,0.0005292866552437075,0.0006726849166963928,0.00019727172261008852,0.00024137631452654732,0.00044939223053430563,0.00032909827198974285,0.0006630306889542059,0.0012219491679361931,0.0003848046475872241,0.0002198058487057797,0.00042943738778334164,0.00048043280827707774,0.0012850652625459155,0.0004957064282193642,0.006618898780280554,0.0008200042127630661,0.0003603570163759042,0.0004959977515005807,0.003010461253582595,0.0033336849276384027,0.003122754386864315,0.004115873027215232,0.00011160601304080927,0.0004570354739556252,0.0022388179972040755,0.002019447810870878,0.009292778280858227,0.0029580491939146802,0.00046812753636232325,0.0009229783903192915,0.0011156640673962083,0.006090387994886834,0.0027806429976396613,0.007665099195329554,0.002151858229110665,0.0020778767562632202,0.004677376222404572,0.003539515398500168,0.0004166380916728771,0.0007172169696377996,0.0002793010232721546,0.001364658616439166,0.0007668371625575456,0.002371770433139342,0.006815116512116883,0.007512527805592607,0.006044016611406405,0.0006111856983008017,0.003788498665388355,0.09296932296829737,0.09296932296829737,0.0,0.0
Left-Pallidum,0.06278936344253545,0.14838669384599065,0.22177856445895391,0.1594031739978554,0.0,0.08688762833015067,0.061847820925903,0.0822759823154011,0.019081763777255057,0.009020720154169824,0.003804074667128553,0.009661104045858047,0.01334136051159161,0.003205388821281765,0.0006321140838156319,0.011856696317891758,0.0019330820216204405,0.002375322599901219,0.0008691403295251361,0.0017096415145536716,0.001211618905460582,0.0004875094569508225,0.0031716509062871177,0.00222369610797677,0.00046495256604251736,0.004863055989840977,0.009471502318408764,0.00743003526952696,0.015898900310058736,0.03373573353257656,0.04656022955028603,0.0026349980759046163,0.0057612488164104705,0.005292819808225807,0.00492707256697246,0.005249670509435998,0.006569286854257522,0.0100704891810901,0.018069164726883243,0.005072525001883227,0.013205945824424076,0.00930938174141493,0.0027738033821791148,0.008371791553302213,0.0021710113178336093,0.005572306107922581,0.023395118843256575,0.011164056735812526,0.001218347908763363,0.004943496049013168,0.005286417555558296,0.001090503169569584,0.0006488940719216519,0.005814179026194227,0.0017465426087439838,0.0012272386824239547,0.00783440437648893,0.013041909825967738,0.013096465545166082,0.00341083818589115,0.006631045288448796,0.006836535551833139,0.0028443222128953084,0.0028459337950566452,0.00015604772777172245,0.003284739840197371,6.574190238348115e-05,0.00031096058490698183,0.0,0.0,6.110697265411436e-05,0.0,0.00019703189006526465,0.0,0.0003014842072633468,4.6393138065929574e-05,0.0001459067941966895,0.00012488803962473473,0.0,0.0007510733973832186,0.0002173948954185586,0.0032560133688924898,0.0,0.0,0.00010828172961062131,0.0005995446738511497,0.0014480087813464452,0.000949842099214169,0.0011447310122306808,0.0,8.960180119432037e-05,0.00030864768919930125,0.0007942833946283375,0.001311421478835449,0.0012067990848894645,0.0002816185768208981,0.0002815257438892385,0.00040127693285173065,0.000884802690260616,0.00011304237477875758,0.0010858495969084776,0.0004985098354628118,0.0004897666359338605,0.0008094067876288405,0.000954660566389414,0.00020077091799736548,0.0003956362102072919,0.000200923439157221,0.00023927493415775572,0.0001761130477264532,0.00048200391966042756,0.0004998582149015986,0.0015277051437032798,0.0015523787341877818,0.0,0.001097786313293257,0.04057148915696872,0.04057148915696872,0.0,0.0
Left-Hippocampus,0.03730902180687021,0.3420202681151365,0.021151989443485616,0.03964959857430004,0.08688762833015067,0.0,0.06553237444666489,0.006621504275548746,0.014326351246277557,0.007570643125590556,0.000970330850852861,0.002099664046898994,0.004245847849566602,0.0027008037768296877,5.203595442534949e-05,0.0007816375836349039,0.3664263555407549,0.028068700494516687,0.04286065668991682,0.008277242951386193,0.012838859141542903,0.055461677841270055,0.006654912648288152,0.01086914316139997,0.008968930945790146,0.002028021843627508,0.0007453494081181132,0.0013969420280218595,0.0035378096415787865,0.005560426816394554,0.006825948699381199,0.03743644981195435,0.0012731702662276147,0.0068823306007427115,0.00110928814618285,0.0035298534205422958,0.0012936594420074638,0.0020683710820331627,0.00494945501633478,0.0014046262858930074,0.005779780087207269,0.0017468298255676354,0.00025550139106381685,0.001681543531758574,0.0013229070555512638,0.0011457719548801362,0.0008711767044779592,0.434082436464204,0.01666747875328742,0.005524466563684947,0.001120146101950334,0.003696722813021836,0.006760625941000172,0.015344348333435693,0.001567883811814965,0.0007266642820447308,0.007910505598873071,0.001790553234115147,0.0008970337297613366,0.00033949136133810986,0.0,0.0009161756365810625,0.0006032724697542615,0.0004084250223195352,0.027625027109571945,0.011563467752186373,0.0008581189560259031,0.0008586434258449878,0.0010270654680000757,0.0006202544030323493,0.0008176262807927884,0.004201627871976439,0.0005400152710934494,0.0027947514247086288,4.810902810511652e-05,0.0,0.0,0.00012006578602571087,0.0005610126103928323,0.00030005024770667673,0.00039974191202496554,0.0006136547396473106,0.000334492672729664,0.0005168502658741812,0.0005531456787814322,0.0025101022706408983,0.0011482678058035618,0.0001182098869907825,8.120827905805497e-05,0.0001840781024664802,0.0,0.0001706000147050755,0.00043546890252183927,0.00038700989241357127,6.908128138300991e-05,0.00010806753061496075,0.00036495351120483893,0.0007710673690837786,0.00016558700554885646,0.00011572341344274299,0.0,0.00034569116757582715,0.0004357004218999979,0.0,0.0020911427618789153,0.00014668671652264093,9.233057887337777e-05,7.790816010629816e-05,0.00035502560830937235,0.0,0.0,0.0,0.0,0.0002226229672760664,0.0008942113287057369,0.0016553199444086662,0.016351007195866536,0.016351007195866536,0.0,0.0
Left-Amygdala,0.008490294656786091,0.07166341824532937,0.00785425975428288,0.09046345852866475,0.061847820925903,0.06553237444666489,0.0,0.07657533471416234,0.0021021512414869945,0.0025946923389582877,0.0005974960990563364,0.0008465851390372864,0.002542865474555579,6.740828358222524e-05,0.00040811169382395625,0.003309732373264026,0.0030224043667871725,0.002361099153462285,0.0012882186440808581,0.0007673451178623295,0.0006656436683858972,0.0006386630816116198,0.00033647253665713473,0.0012679205901619302,8.457938767191421e-05,0.0003680441082811421,0.0,0.0004685765900279627,6.007661811025591e-05,0.000584676602259339,8.984715528583601e-05,0.0027719229870644796,0.0,0.0006872518287879862,0.00017048702350099925,0.00048695401325983144,0.000570457416511112,0.0002666310169536607,0.0002168269588425968,0.0007159753966538612,0.006640973738871935,0.0004014925276573794,0.0,0.0008178123823647489,0.0,0.00018985645506035614,0.00831778556345673,0.3602101707568248,0.005732929439643374,0.0001330083415955065,0.0,0.0005672886425080192,0.0,0.013610536548996187,0.0011848876211464025,6.8986296898939e-05,0.0015224521092107941,0.0013707675986319682,0.0010481686266621622,0.0,0.00033199751585540337,0.00030158580834945865,3.841814299952635e-05,0.0,0.00021277801482331293,0.0011511720236882376,0.0,0.0,0.00010417789786986502,0.0,0.0,0.00014084293437164163,8.299530142500604e-05,0.0,0.0,0.0,0.00010664909848044387,0.0,0.0,0.0,0.0001408582959931619,0.0,0.0,0.0,0.00018873015207525253,0.0001591420842810034,0.0005023727396033935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023711478710382612,0.00023956772650970506,0.0,0.0003159904208996255,0.0,0.0,0.0,0.0,0.0,0.0,0.00027409610952178843,0.00013172036756905377,0.0,0.0,0.00013111247689615528,0.00015384093290224114,6.798525436481947e-05,0.0,0.0,0.0,0.0,0.00046816037645531713,0.024061958036528965,0.024061958036528965,0.0,0.0
Left-Accumbens-area,0.008131909846661881,0.12978395146634286,0.07099510542965526,0.22385686914665315,0.0822759823154011,0.006621504275548746,0.07657533471416234,0.0,0.001894033011064821,0.013223092062274613,0.004906269087172368,0.0035571366667341573,0.010092990486371942,0.0008284756534855983,0.001218980226111043,0.018669928363138973,0.0006634536270920948,0.000482706193308121,0.00010921341735400525,0.0,0.0,0.0,5.30121191527294e-05,0.0,0.0,0.0005121899725036598,0.00026294382678253444,6.188947067363427e-05,0.00010178899606695068,0.001045870136330486,0.0007366507009964722,0.0010277497002253058,0.00023536725999019655,0.00138404226829474,0.00039605594029570754,0.0006559926101348971,0.0005250351953897082,0.00024355521633124982,0.0004732252619307985,0.00042434177520899135,0.0019459681702722578,0.00019324868975963515,3.4277665462853534e-05,0.0017813320352145414,0.0007183590313947783,0.00022401206426587235,0.32105775284443194,0.0013701071800047608,0.0003866728891298056,0.00035246346797902333,0.00024299405444630433,0.0,0.0002872916305889437,0.00044310848290589973,0.0,0.00019681020305027823,0.0006923070438451004,0.001300353295575864,0.0009962911275170315,0.055542062087321944,0.001528493367628414,0.00014110884003010115,0.0,0.0,9.731077492740316e-05,0.002028434733475816,0.0,0.0,0.0,7.243604513903129e-05,0.0,0.0,0.00013624842143865378,0.0,0.0,0.00013503489960847218,0.0,0.0,0.0,0.0,0.0,4.494604170089462e-05,0.00011042005267413844,0.0,0.00017984094002528253,0.0002614379328857312,6.17940080668052e-05,5.832620683676329e-05,0.0,0.0,0.0,0.0,0.0,6.61818755725446e-05,0.002269650352485667,0.00018995666033647975,0.0,0.0,0.00046076866801891093,0.0,0.00012034800183955009,0.0,0.0,0.0004990789943364691,0.0002852363466522006,0.0,0.00016644639264838193,0.0,0.00020155968173851373,6.273602171943425e-05,0.0004142795815117363,0.002781149507008685,0.0002616131571649427,9.78538298407967e-05,0.0,0.00044561565454237376,0.06033443728998857,0.06033443728998857,0.0,0.0
Right-Cerebellum-Cortex,1.0,0.03800464863053746,0.0026741679628340016,0.003931402933491959,0.019081763777255057,0.014326351246277557,0.0021021512414869945,0.001894033011064821,0.0,0.12583541867841597,0.008578664497577413,0.01683802183282598,0.05169780249021584,0.01781575525012883,0.007680745010704108,0.0069556939302687654,6.228455430503118e-05,0.0,0.0,0.00010741269137187253,0.0,0.0,4.573777057431015e-05,0.00010895999686885984,0.0,0.0,0.00020076027591016746,0.00010832749444140134,0.00044202753603373503,0.0005601102616499871,0.0006775980868802146,6.623497033367368e-05,8.948407503260686e-05,8.853018928342623e-05,5.1947409175199185e-05,0.0,0.00027713447168676225,7.857861931142947e-05,0.0003383062723887237,0.0,0.0005339810919773234,0.00010193037388187898,7.206617862729913e-05,0.00011984394863340565,0.00031010714349530375,0.0005158313978440045,0.0,6.839734220076104e-05,0.00011697665030848309,0.00017367808804977822,0.00020567196931159848,0.0,0.00011625418754174316,6.452921341229702e-05,5.916914497107616e-05,0.0,0.00019407689862833302,0.0,9.242638850478927e-05,0.0,6.73661239512749e-05,0.0,8.852755189659893e-05,8.475795495460505e-05,0.0,0.0005168435490205945,0.014423206867618301,8.215206253605498e-05,0.0006277437140605102,0.00015531016557981334,0.00020047455900387313,0.00035072942469834126,0.0005801512050557092,0.00045855022469094137,0.0005092268645473248,0.00011854061298543253,0.00027594804476481873,0.0006876076022458384,0.00024369418810907145,0.0014060125989744949,0.0011745159046564922,0.0023574793824558903,0.0008694633824206835,0.00029051200714746143,0.0005050036717734887,0.0016598392725379301,0.0008416789710383737,0.0012456154771557464,0.0020709059423754954,0.0,0.0007703136663929518,0.001058980061856443,0.00026325733650206176,0.0007279841669094627,0.0002717454421162136,0.0016865476262388568,0.00024065230171667213,0.0008991071669395753,0.0004165229566280474,0.0004574346062071519,0.0005517027042972725,0.0009721829711756692,0.00033464140360991334,0.0007631113755411832,0.0018829012336225631,0.0002558286969384155,0.0005636555380459965,0.0001041968608353867,0.0005478511941304836,0.00020650094934603565,0.00022342299389283324,0.0,0.0004226736897339642,0.0008578121708716206,9.564235785110812e-05,0.0008536329191215906,0.0,0.0,0.003592167679989093,0.003592167679989093
Right-Thalamus-Proper,0.07496840668844272,0.05924871463475791,0.00571492951746405,0.012260730488294146,0.009020720154169824,0.007570643125590556,0.0025946923389582877,0.013223092062274613,0.12583541867841597,0.0,0.34028216596167526,0.23624275359179756,0.15765285580021163,0.2574504316856364,0.06720138154186674,0.1200163156008893,0.0008606212577507361,0.0017125692144351005,0.0014109367120001444,0.001601562042437249,0.0013185588992252592,0.0022773692973917545,0.001122103440126569,0.0016980111784611633,0.00137255417372279,0.0019892174429884594,0.0015787214782118557,0.0017321821492881947,0.0015337036564039733,0.005086651983199871,0.01878010109139302,0.002480246450246235,0.0008685311008796803,0.0035302878451938724,0.0008888142597323603,0.005657324504826381,0.0024710583266441817,0.003811516516761304,0.007524266255265901,0.0019598974709633663,0.0012928548153870638,0.0009638542732314229,0.002729479871732669,0.008146156597729446,0.008151460837626984,0.008530311730973007,0.00028363100322169695,0.00044592867457165597,0.0017049727692066566,0.0018500751411418609,0.005455693983803088,0.002284855589306051,0.004276859138434607,0.0016394553146115009,0.0006340091619259303,0.0004664371449182949,0.0033066753411765152,0.000481343315953441,0.0015079760905690257,0.0031188553381855514,0.0019247305704310602,0.0040484965426522464,0.0051203579025280044,0.003222828059698908,0.0022690624735637,0.007657030495914212,0.006209409938679915,0.011403187049403414,0.010682443249654085,0.007488210593931062,0.012596878152104592,0.024385965698745335,0.014653271723085354,0.014428155353337104,0.01696071404355806,0.012880336699532074,0.012790662451172408,0.02700893171133317,0.021767211932233556,0.076142959285165,0.03188462155524274,0.12886706999718364,0.015052861869692924,0.020701533042789766,0.013540166048153989,0.032355521652219076,0.03492928747188356,0.049112902544909375,0.07327958775546448,0.0042970198515912454,0.02161171654421077,0.03850162757091025,0.016284035251787787,0.03686672350297794,0.008875945516106192,0.029795340105982338,0.008477113645202318,0.012393373682912238,0.012937923088517139,0.025791770059835316,0.021117999877831188,0.031151640481117793,0.008033718338767296,0.017998443391899804,0.026040290372795406,0.007654452627658618,0.012991190409547923,0.010297825239599007,0.010740143381729819,0.008619779218230567,0.017435800086002925,0.006340133281488351,0.029957694843597,0.02461489839807934,0.003060485865094999,0.01692214753212613,0.0,0.0,0.020747444389880042,0.020747444389880042
